AP,Portada,Categoría,Región,Periodo,Mes,Año,Acceso,ext,nacmay,rprov,rloc,est,jp,men,total,nactotal
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m1,1,2017,NO COBRA,41,224,409,2434,0,0,1268,4376,4335
Aconquija,Única,PN,NOA,2017m1,1,2017,NO COBRA,2,10,0,17,0,0,25,54,52
Baritú,Única,PN,NOA,2017m1,1,2017,NO COBRA,0,0,2,0,0,0,0,2,2
Calilegua,Única,PN,NOA,2017m1,1,2017,NO COBRA,54,1295,241,422,0,0,237,2249,2195
Copo,Guayacán,PN,NOA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m1,1,2017,NO COBRA,0,9,0,0,0,0,0,9,9
El Rey,Única,PN,NOA,2017m1,1,2017,NO COBRA,4,0,22,0,0,0,11,37,33
Laguna de los Pozuelos,Única,MN,NOA,2017m1,1,2017,NO COBRA,52,77,30,30,2,0,29,220,168
Los Cardones,Recta del Tín Tín,PN,NOA,2017m1,1,2017,NO COBRA,603,5893,485,24,0,3910,31,10946,10343
Los Cardones,Valle Encantado,PN,NOA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m1,1,2017,NO COBRA,25,5,4,156,80,1,24,295,270
Pizarro,Única,RNac,NOA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m1,1,2017,NO COBRA,276,1438,106,48,90,39,398,2395,2119
Lago Puelo,Única,PN,PATAGONIA,2017m1,1,2017,COBRA,1682,51798,15797,35570,5311,10972,19020,140150,138468
Laguna Blanca,Única,PN,PATAGONIA,2017m1,1,2017,NO COBRA,25,310,144,50,0,0,103,632,607
Lanín,Hua Hum,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m1,1,2017,COBRA,625,18182,2834,0,2693,12777,0,37111,36486
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m1,1,2017,COBRA,490,4253,1878,0,1238,1478,0,9337,8847
Lanín,Quila Quina,PN,PATAGONIA,2017m1,1,2017,COBRA,1161,10503,2710,0,1577,3981,0,19932,18771
Lanín,Ruka Choroy,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m1,1,2017,NO COBRA,39,386,50,2,0,0,162,639,600
Los Alerces,Portada Centro,PN,PATAGONIA,2017m1,1,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Norte,PN,PATAGONIA,2017m1,1,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Sur,PN,PATAGONIA,2017m1,1,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m1,1,2017,NO COBRA,2240,19520,10409,26736,3292,3242,14452,79891,77651
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m1,1,2017,NO COBRA,10952,10087,0,0,0,0,0,21039,10087
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m1,1,2017,COBRA,7791,8562,77,4079,1200,0,861,22570,14779
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m1,1,2017,COBRA,5393,877,0,251,0,0,368,6889,1496
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m1,1,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m1,1,2017,COBRA,61070,31377,7408,9639,5308,7273,15425,137500,76430
Monte León,Única,PN,PATAGONIA,2017m1,1,2017,NO COBRA,504,1216,465,552,28,0,855,3620,3116
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m1,1,2017,COBRA,2347,18404,2079,12311,2647,0,0,37788,35441
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m1,1,2017,COBRA,3618,21406,1828,17150,7699,0,0,51701,48083
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2017m1,1,2017,COBRA,1201,4741,3471,6115,3121,0,0,18649,17448
Nahuel Huapi,Río Limay,PN,PATAGONIA,2017m1,1,2017,COBRA,0,0,0,0,4885,0,0,4885,4885
Patagonia,Única,PN,PATAGONIA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2017m1,1,2017,NO COBRA,105,200,14,4,0,0,73,396,291
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2017m1,1,2017,COBRA,26304,9705,13682,0,1877,4519,5077,61164,34860
Tierra del Fuego,Tren del Fin del Mundo,PN,PATAGONIA,2017m1,1,2017,COBRA,9824,8028,582,0,553,2662,1890,23539,13715
Ciervo de los Pantanos,Única,PN,CENTRO,2017m2,2,2017,NO COBRA,9,126,316,71,0,9,144,675,666
El Leoncito,Única,PN,CENTRO,2017m2,2,2017,NO COBRA,133,1349,1819,297,0,0,0,3598,3465
El Palmar,Única,PN,CENTRO,2017m2,2,2017,COBRA,123,13544,3523,400,477,1565,6986,26618,26495
Iberá,Cambyretá,PN,CENTRO,2017m2,2,2017,NO COBRA,26,617,0,0,0,0,0,643,617
Iberá,San Nicolás,PN,CENTRO,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m2,2,2017,NO COBRA,35,421,165,87,9,4,197,918,883
Pre Delta,Única,PN,CENTRO,2017m2,2,2017,NO COBRA,33,1854,2054,2454,41,89,1748,8273,8240
Quebrada del Condorito,Única,PN,CENTRO,2017m2,2,2017,NO COBRA,320,2337,1571,124,0,0,0,4352,4032
San Guillermo,Única,PN,CENTRO,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Sierra de las Quijadas,Única,PN,CENTRO,2017m2,2,2017,COBRA,98,1497,160,0,31,218,547,2551,2453
Talampaya,Única,PN,CENTRO,2017m2,2,2017,COBRA,566,1898,94,0,209,400,577,3744,3178
Chaco,Única,PN,NEA,2017m2,2,2017,NO COBRA,4,84,283,100,55,0,131,657,653
Colonia Benítez,Única,RNEd,NEA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
El Impenetrable,Única,PN,NEA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Iguazú,Única,PN,NEA,2017m2,2,2017,COBRA,95660,77776,9979,3466,0,20537,21361,228779,133119
Río Pilcomayo,Estero Poi,PN,NEA,2017m2,2,2017,NO COBRA,0,38,81,35,0,0,22,176,176
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m2,2,2017,NO COBRA,16,60,253,476,0,0,150,955,939
Aconquija,Única,PN,NOA,2017m2,2,2017,NO COBRA,2,4,0,8,0,0,0,14,12
Baritú,Única,PN,NOA,2017m2,2,2017,NO COBRA,0,0,2,0,0,0,0,2,2
Calilegua,Única,PN,NOA,2017m2,2,2017,NO COBRA,100,576,189,276,0,0,300,1441,1341
Copo,Guayacán,PN,NOA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m2,2,2017,NO COBRA,0,8,0,0,0,0,0,8,8
El Rey,Única,PN,NOA,2017m2,2,2017,NO COBRA,0,0,4,0,0,0,0,4,4
Laguna de los Pozuelos,Única,MN,NOA,2017m2,2,2017,NO COBRA,31,73,52,16,0,0,23,195,164
Los Cardones,Recta del Tín Tín,PN,NOA,2017m2,2,2017,NO COBRA,485,3611,468,85,0,4949,59,9657,9172
Los Cardones,Valle Encantado,PN,NOA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m2,2,2017,NO COBRA,0,6,4,20,0,0,0,30,30
Pizarro,Única,RNac,NOA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m2,2,2017,NO COBRA,145,455,144,16,20,15,155,950,805
Lago Puelo,Única,PN,PATAGONIA,2017m2,2,2017,COBRA,1596,35672,21011,22637,4225,4267,14048,103456,101860
Laguna Blanca,Única,PN,PATAGONIA,2017m2,2,2017,NO COBRA,35,64,74,109,0,0,75,357,322
Lanín,Hua Hum,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m2,2,2017,COBRA,470,6203,1476,0,375,5778,0,14302,13832
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m2,2,2017,COBRA,630,3972,1040,0,271,1060,0,6973,6343
Lanín,Quila Quina,PN,PATAGONIA,2017m2,2,2017,COBRA,573,6217,1868,0,400,1726,0,10784,10211
Lanín,Ruka Choroy,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m2,2,2017,NO COBRA,16,242,38,50,0,1,110,457,441
Los Alerces,Portada Centro,PN,PATAGONIA,2017m2,2,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Norte,PN,PATAGONIA,2017m2,2,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Sur,PN,PATAGONIA,2017m2,2,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m2,2,2017,NO COBRA,2228,11029,5115,20539,773,3276,21206,64166,61938
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m2,2,2017,NO COBRA,14296,6908,0,0,0,0,0,21204,6908
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m2,2,2017,COBRA,12637,4854,114,4530,711,0,379,23225,10588
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m2,2,2017,COBRA,967,121,0,201,55,0,0,1344,377
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m2,2,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m2,2,2017,COBRA,61804,27643,9249,10636,2076,5645,11684,128737,66933
Monte León,Única,PN,PATAGONIA,2017m2,2,2017,NO COBRA,264,648,288,495,0,0,883,2578,2314
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m2,2,2017,COBRA,2451,11853,656,7228,694,0,0,22882,20431
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m2,2,2017,COBRA,3753,12392,593,12263,501,0,0,29502,25749
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2017m2,2,2017,COBRA,1164,5386,1952,3620,1281,0,0,13403,12239
Nahuel Huapi,Río Limay,PN,PATAGONIA,2017m2,2,2017,COBRA,0,0,0,0,0,0,0,0,0
Patagonia,Única,PN,PATAGONIA,2017m2,2,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2017m2,2,2017,NO COBRA,142,142,8,0,0,0,31,323,181
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2017m2,2,2017,COBRA,19037,7048,12438,0,830,3156,4762,47271,28234
Tierra del Fuego,Tren del Fin del Mundo,PN,PATAGONIA,2017m2,2,2017,COBRA,12142,4615,414,0,179,3234,2348,22932,10790
Ciervo de los Pantanos,Única,PN,CENTRO,2017m3,3,2017,NO COBRA,90,252,475,173,42,16,293,1341,1251
El Leoncito,Única,PN,CENTRO,2017m3,3,2017,NO COBRA,301,626,1141,155,0,0,0,2223,1922
El Palmar,Única,PN,CENTRO,2017m3,3,2017,COBRA,95,6808,1743,881,261,1038,1580,12406,12311
Iberá,Cambyretá,PN,CENTRO,2017m3,3,2017,NO COBRA,77,173,0,0,0,0,0,250,173
Iberá,San Nicolás,PN,CENTRO,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m3,3,2017,NO COBRA,9,144,60,103,0,0,49,365,356
Pre Delta,Única,PN,CENTRO,2017m3,3,2017,NO COBRA,50,1129,2938,2874,228,122,1792,9133,9083
Quebrada del Condorito,Única,PN,CENTRO,2017m3,3,2017,NO COBRA,397,1106,3079,269,0,0,0,4851,4454
San Guillermo,Única,PN,CENTRO,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Sierra de las Quijadas,Única,PN,CENTRO,2017m3,3,2017,COBRA,105,1091,134,28,119,438,156,2071,1966
Talampaya,Única,PN,CENTRO,2017m3,3,2017,COBRA,1003,2754,53,0,87,1138,129,5164,4161
Chaco,Única,PN,NEA,2017m3,3,2017,NO COBRA,13,60,176,65,0,0,130,444,431
Colonia Benítez,Única,RNEd,NEA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
El Impenetrable,Única,PN,NEA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Iguazú,Única,PN,NEA,2017m3,3,2017,COBRA,53196,46090,3509,1435,0,11624,10831,126685,73489
Río Pilcomayo,Estero Poi,PN,NEA,2017m3,3,2017,NO COBRA,15,52,138,174,0,0,81,460,445
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m3,3,2017,NO COBRA,2,28,36,15,0,0,9,90,88
Aconquija,Única,PN,NOA,2017m3,3,2017,NO COBRA,0,0,0,15,0,0,0,15,15
Baritú,Única,PN,NOA,2017m3,3,2017,NO COBRA,0,11,0,0,0,0,0,11,11
Calilegua,Única,PN,NOA,2017m3,3,2017,NO COBRA,104,359,39,230,0,0,114,846,742
Copo,Guayacán,PN,NOA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m3,3,2017,NO COBRA,0,10,0,0,0,0,0,10,10
El Rey,Única,PN,NOA,2017m3,3,2017,NO COBRA,9,0,0,0,0,0,0,9,0
Laguna de los Pozuelos,Única,MN,NOA,2017m3,3,2017,NO COBRA,51,49,9,0,0,0,8,117,66
Los Cardones,Recta del Tín Tín,PN,NOA,2017m3,3,2017,NO COBRA,721,8009,437,79,0,6093,71,15410,14689
Los Cardones,Valle Encantado,PN,NOA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m3,3,2017,NO COBRA,2,2,2,0,0,0,0,6,4
Pizarro,Única,RNac,NOA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m3,3,2017,NO COBRA,181,158,117,16,17,74,25,588,407
Lago Puelo,Única,PN,PATAGONIA,2017m3,3,2017,COBRA,390,10616,2296,9164,992,9203,92,32753,32363
Laguna Blanca,Única,PN,PATAGONIA,2017m3,3,2017,NO COBRA,19,94,46,70,0,58,45,332,313
Lanín,Hua Hum,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m3,3,2017,COBRA,138,4043,837,0,770,1770,0,7558,7420
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m3,3,2017,COBRA,183,2191,441,0,432,707,31,3985,3802
Lanín,Quila Quina,PN,PATAGONIA,2017m3,3,2017,COBRA,154,2206,1251,0,451,477,16,4555,4401
Lanín,Ruka Choroy,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m3,3,2017,NO COBRA,39,131,79,32,0,1,37,319,280
Los Alerces,Portada Centro,PN,PATAGONIA,2017m3,3,2017,COBRA,355,2064,870,5499,100,1094,556,10538,10183
Los Alerces,Portada Norte,PN,PATAGONIA,2017m3,3,2017,COBRA,186,1168,463,619,60,420,309,3225,3039
Los Alerces,Portada Sur,PN,PATAGONIA,2017m3,3,2017,COBRA,91,861,728,3406,67,808,1167,7128,7037
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m3,3,2017,NO COBRA,6647,7162,0,0,0,0,0,13809,7162
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m3,3,2017,COBRA,6276,6594,42,3444,795,0,204,17355,11079
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m3,3,2017,COBRA,3121,1508,19,293,110,0,0,5051,1930
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m3,3,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m3,3,2017,COBRA,38268,10881,1954,2847,2167,11661,1404,69182,30914
Monte León,Única,PN,PATAGONIA,2017m3,3,2017,NO COBRA,145,81,122,19,0,0,51,418,273
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m3,3,2017,COBRA,2004,8336,331,4581,720,0,243,16215,14211
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m3,3,2017,COBRA,3099,11201,241,7319,1388,0,436,23684,20585
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2017m3,3,2017,COBRA,430,3516,1073,1651,763,0,135,7568,7138
Nahuel Huapi,Río Limay,PN,PATAGONIA,2017m3,3,2017,COBRA,0,0,0,0,0,0,0,0,0
Patagonia,Única,PN,PATAGONIA,2017m3,3,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2017m3,3,2017,NO COBRA,54,26,16,2,0,0,7,105,51
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2017m3,3,2017,COBRA,10921,5998,6350,0,918,2709,1324,28220,17299
Tierra del Fuego,Tren del Fin del Mundo,PN,PATAGONIA,2017m3,3,2017,COBRA,7586,3263,380,0,213,2983,460,14885,7299
Ciervo de los Pantanos,Única,PN,CENTRO,2017m4,4,2017,NO COBRA,15,195,710,174,0,10,434,1538,1523
El Leoncito,Única,PN,CENTRO,2017m4,4,2017,NO COBRA,133,910,1928,379,0,0,0,3350,3217
El Palmar,Única,PN,CENTRO,2017m4,4,2017,COBRA,85,8667,2658,890,17,1814,3469,17600,17515
Iberá,Cambyretá,PN,CENTRO,2017m4,4,2017,NO COBRA,7,19,0,0,0,0,0,26,19
Iberá,San Nicolás,PN,CENTRO,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m4,4,2017,NO COBRA,10,48,88,87,0,0,105,338,328
Pre Delta,Única,PN,CENTRO,2017m4,4,2017,NO COBRA,78,2824,4130,5676,39,296,1990,15033,14955
Quebrada del Condorito,Única,PN,CENTRO,2017m4,4,2017,NO COBRA,484,792,2007,86,0,0,0,3369,2885
San Guillermo,Única,PN,CENTRO,2017m4,4,2017,NO COBRA,2,6,0,0,0,0,6,14,12
Sierra de las Quijadas,Única,PN,CENTRO,2017m4,4,2017,COBRA,87,1605,313,10,185,585,135,2920,2833
Talampaya,Única,PN,CENTRO,2017m4,4,2017,COBRA,596,5572,185,0,376,2677,717,10123,9527
Chaco,Única,PN,NEA,2017m4,4,2017,NO COBRA,16,38,95,48,0,0,76,273,257
Colonia Benítez,Única,RNEd,NEA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
El Impenetrable,Única,PN,NEA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m4,4,2017,NO COBRA,0,3,0,0,0,0,0,3,3
Iguazú,Única,PN,NEA,2017m4,4,2017,COBRA,66014,55834,3106,1128,0,17471,17404,160957,94943
Río Pilcomayo,Estero Poi,PN,NEA,2017m4,4,2017,NO COBRA,13,60,23,46,2,0,5,149,136
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m4,4,2017,NO COBRA,30,73,409,363,0,0,201,1076,1046
Aconquija,Única,PN,NOA,2017m4,4,2017,NO COBRA,0,0,0,7,0,0,2,9,9
Baritú,Única,PN,NOA,2017m4,4,2017,NO COBRA,2,3,0,0,0,0,0,5,3
Calilegua,Única,PN,NOA,2017m4,4,2017,NO COBRA,184,255,52,166,0,0,109,766,582
Copo,Guayacán,PN,NOA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m4,4,2017,NO COBRA,0,10,0,0,0,0,0,10,10
El Rey,Única,PN,NOA,2017m4,4,2017,NO COBRA,0,2,9,2,0,0,9,22,22
Laguna de los Pozuelos,Única,MN,NOA,2017m4,4,2017,NO COBRA,45,55,27,9,12,0,22,170,125
Los Cardones,Recta del Tín Tín,PN,NOA,2017m4,4,2017,NO COBRA,453,6680,486,59,0,3081,57,10816,10363
Los Cardones,Valle Encantado,PN,NOA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m4,4,2017,NO COBRA,22,0,21,0,0,0,0,43,21
Pizarro,Única,RNac,NOA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m4,4,2017,NO COBRA,34,23,65,16,10,4,35,187,153
Lago Puelo,Única,PN,PATAGONIA,2017m4,4,2017,COBRA,142,4083,1633,3499,325,459,447,10588,10446
Laguna Blanca,Única,PN,PATAGONIA,2017m4,4,2017,NO COBRA,11,22,597,52,12,97,75,866,855
Lanín,Hua Hum,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m4,4,2017,COBRA,153,1719,457,0,116,0,0,2445,2292
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m4,4,2017,COBRA,48,859,259,0,151,389,125,1831,1783
Lanín,Quila Quina,PN,PATAGONIA,2017m4,4,2017,COBRA,20,1201,257,0,83,312,12,1885,1865
Lanín,Ruka Choroy,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m4,4,2017,NO COBRA,9,153,103,44,0,0,96,405,396
Los Alerces,Portada Centro,PN,PATAGONIA,2017m4,4,2017,COBRA,237,460,1278,2869,12,293,338,5487,5250
Los Alerces,Portada Norte,PN,PATAGONIA,2017m4,4,2017,COBRA,46,301,345,270,6,170,206,1344,1298
Los Alerces,Portada Sur,PN,PATAGONIA,2017m4,4,2017,COBRA,26,370,421,3223,44,323,823,5230,5204
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m4,4,2017,NO COBRA,5994,4041,0,0,0,0,0,10035,4041
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m4,4,2017,COBRA,4732,5403,43,3030,359,0,319,13886,9154
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m4,4,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m4,4,2017,COBRA,787,624,0,264,108,0,122,1905,1118
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m4,4,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m4,4,2017,COBRA,24480,10164,2376,2383,2035,4004,1593,47035,22555
Monte León,Única,PN,PATAGONIA,2017m4,4,2017,NO COBRA,43,38,112,36,0,0,50,279,236
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m4,4,2017,COBRA,1850,6039,395,3956,485,0,460,13185,11335
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m4,4,2017,COBRA,2756,6119,476,4065,475,0,563,14454,11698
